[ 2025-07-29 12:04:54,986 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-29 12:04:55,026 ] 107 dagshub - INFO - Accessing as sujeet123-dot
[ 2025-07-29 12:04:55,393 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/sujeet123-dot/networksecurity "HTTP/1.1 200 OK"
[ 2025-07-29 12:04:55,735 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-29 12:04:55,745 ] 107 dagshub - INFO - Initialized MLflow to track repo "sujeet123-dot/networksecurity"
[ 2025-07-29 12:04:55,745 ] 107 dagshub - INFO - Repository sujeet123-dot/networksecurity initialized!
[ 2025-07-29 12:04:55,745 ] 16 root - INFO - Initiate Data ingestion
[ 2025-07-29 12:05:00,242 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-29 12:05:00,242 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-29 12:05:00,242 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-29 12:05:00,338 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-29 12:05:00,338 ] 18 root - INFO - Data Initiation Completed
[ 2025-07-29 12:05:00,356 ] 23 root - INFO - Initiate the data vaildation
[ 2025-07-29 12:05:00,460 ] 31 root - INFO - Required number of columns: 2
[ 2025-07-29 12:05:00,460 ] 32 root - INFO - Data frame has columns:31
[ 2025-07-29 12:05:00,460 ] 31 root - INFO - Required number of columns: 2
[ 2025-07-29 12:05:00,460 ] 32 root - INFO - Data frame has columns:31
[ 2025-07-29 12:05:00,689 ] 25 root - INFO - Data Validation completed
[ 2025-07-29 12:05:00,689 ] 28 root - INFO - Data Transformation started
[ 2025-07-29 12:05:00,689 ] 61 root - INFO - Entered initaiate_data_transformation method of DataTransformation class
[ 2025-07-29 12:05:00,689 ] 63 root - INFO - Starting data transformation
[ 2025-07-29 12:05:00,733 ] 49 root - INFO - Entered get_data_transformation_object method of transforrmation class
[ 2025-07-29 12:05:00,733 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-29 12:05:00,757 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-29 12:05:00,760 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-29 12:05:00,760 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-29 12:05:00,767 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-29 12:05:00,769 ] 32 root - INFO - Data transformation completed
[ 2025-07-29 12:05:00,769 ] 34 root - INFO - Model Training started
[ 2025-07-29 12:12:16,747 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-29 12:12:16,747 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-29 12:12:16,747 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-29 12:12:16,764 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-29 12:12:16,764 ] 127 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907520325203252, precision_score=0.9875405186385737, recall_score=0.9939845024469821), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9880430450378637, precision_score=0.9868630573248408, recall_score=0.9892258579409418))
[ 2025-07-29 12:12:16,769 ] 39 root - INFO - Model Training artifact created
