[ 2025-07-27 09:54:21,842 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-07-27 09:54:21,842 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-27 09:54:23,248 ] 15 root - INFO - Initiate Data ingestion
[ 2025-07-27 09:54:26,073 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-27 09:54:26,073 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-27 09:54:26,075 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-27 09:54:26,149 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-27 09:54:26,149 ] 17 root - INFO - Data Initiation Completed
[ 2025-07-27 09:54:26,149 ] 22 root - INFO - Initiate the data vaildation
[ 2025-07-27 09:54:26,265 ] 31 root - INFO - Required number of columns: 2
[ 2025-07-27 09:54:26,265 ] 32 root - INFO - Data frame has columns:31
[ 2025-07-27 09:54:26,265 ] 31 root - INFO - Required number of columns: 2
[ 2025-07-27 09:54:26,265 ] 32 root - INFO - Data frame has columns:31
[ 2025-07-27 09:54:26,446 ] 24 root - INFO - Data Validation completed
[ 2025-07-27 09:54:26,446 ] 27 root - INFO - Data Transformation started
[ 2025-07-27 09:54:26,446 ] 61 root - INFO - Entered initaiate_data_transformation method of DataTransformation class
[ 2025-07-27 09:54:26,446 ] 63 root - INFO - Starting data transformation
[ 2025-07-27 09:54:26,487 ] 49 root - INFO - Entered get_data_transformation_object method of transforrmation class
[ 2025-07-27 09:54:26,487 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-27 09:54:26,506 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-27 09:54:26,510 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-27 09:54:26,510 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-27 09:54:26,513 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-27 09:54:26,514 ] 31 root - INFO - Data transformation completed
