[ 2025-07-27 09:50:57,904 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-07-27 09:50:57,904 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-27 09:50:59,988 ] 15 root - INFO - Initiate Data ingestion
[ 2025-07-27 09:51:03,999 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-27 09:51:03,999 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-27 09:51:03,999 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-27 09:51:04,079 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-27 09:51:04,079 ] 17 root - INFO - Data Initiation Completed
[ 2025-07-27 09:51:04,099 ] 22 root - INFO - Initiate the data vaildation
[ 2025-07-27 09:51:04,156 ] 31 root - INFO - Required number of columns: 2
[ 2025-07-27 09:51:04,156 ] 32 root - INFO - Data frame has columns:31
[ 2025-07-27 09:51:04,156 ] 31 root - INFO - Required number of columns: 2
[ 2025-07-27 09:51:04,156 ] 32 root - INFO - Data frame has columns:31
[ 2025-07-27 09:51:04,404 ] 24 root - INFO - Data Validation completed
